name,total_sales,sum(sale_liters)
TARGET STORE T-1901 / WDM,300780.72,13714.250000000002
WORLD LIQUOR & TOBACCO + VAPORS / ADEL,300003.35999999987,13374.47
SPIRITS LIQUOR / GRIMES,299291.45999999996,12878.999999999998
WAL-MART 1435 / CRESTON,299129.26999999996,19313.100000000002
CELTICS BEVERAGE COMPANY,298475.81,18686.14
FAREWAY STORES #625 / OSKALOOSA,298016.30000000005,16775.469999999998
MLK LIQUOR LLC / DES MOINES,297952.69999999995,12248.640000000003
FAMILY PANTRY,297389.52999999985,10966.62
BEECHER LIQUOR / DUBUQUE,297245.5699999999,14545.079999999998
NORTH SCOTT FOODS,295003.30000000005,15854.63
HIWAY 20 LIQUOR AND TOBACCO / FORT DODGE,294249.07999999996,15214.899999999989
FAREWAY STORES #974 / CEDAR FALLS,293934.59,20577.370000000003
SA PETRO MART,293754.43999999994,12757.679999999997
TARGET STORE T-1791 / URBANDALE,292571.23,14120.800000000001
MADELLA WINE AND SPIRITS / BETTENDORF,291457.64999999997,13789.07
HILLTOP GROCERY,291202.2,13203.299999999996
FAREWAY STORES #025 / CLINTON,290451.07,17080.799999999996
HY-VEE FOOD STORE / SIOUX CENTER,290365.39,17459.91
MARLE HAY LIQUOR & SMOKE / DES MOINES,290268.1099999999,11631.540000000003
FAREWAY STORES #167/JOHNSTON,288994.49,17737.559999999994
WAL-MART 0784 / MT PLEASAN,286717.6,19512.6
HY-VEE FOOD STORE / CRESTON,284952.95,17897.3
SHADE TREE LIQUORS,283787.1400000001,19008.479999999996
FAREWAY STORES #737 / GRINNELL,283283.57999999996,18160.370000000006
QUILLINS FOOD RANCH / WAUKON,283125.0899999999,18744.909999999996
C'S LIQUOR STORE,281850.45999999996,20152.479999999992
DOWNTOWN PANTRY,281715.4499999999,20502.649999999994
FAREWAY STORES #426 / NEVADA,280375.10000000003,19360.75
FAREWAY STORES #790 / HARLAN,279052.17,18367.8
FAREWAY STORES #719 / LE MARS,278739.04,20495.13
LIQUOR LOCKER,278136.81000000006,17664.489999999994
SAC LIQUOR STORE,278124.93,17555.66
DEWITT TRAVEL MART,277638.66000000003,8754.08
DT LIQUOR LLC / DEWITT,277548.48000000004,13734.249999999998
LIQUOR AND TOBACCO OUTLET /,277250.54,16450.629999999997
SAVE MORE / DAVENPORT,277018.36999999994,14288.959999999994
FAREWAY STORES #412 / OELWEIN,276428.36,18880.500000000004
WAL-MART 1005 / WAVERLY,276106.1,19131.8
WAL-MART 1152 / SIOUX CENTER,274482.88,17154.05
WASHINGTON STREET MINI MART,273735.41,10064.050000000001
HY-VEE DRUGSTORE #2 / WDM,273212.29999999993,16102.2
FAREWAY STORES #922 / NEW HAMPTON,272941.75,21062.14
FAREWAY STORES #980 / KNOXVILLE,272543.16,16234.210000000001
IOWA SMOKE AND LIQUOR,272083.35,12028.739999999998
FAREWAY STORES #155 / HUXLEY,272021.48,13696.480000000001
STAR CONVENIENCE / FORT DODGE,271988.23,12527.749999999995
DEPOT LIQUOR & GROCERY / MARSHALLTOWN,271889.70999999996,11823.019999999999
IOWA LIQUOR & TOBACCO,271653.53,11626.449999999999
JIM AND CHARLIES AFFILIATED,269998.97000000003,18094.89
WAL-MART 1723 / DES MOINES,268842.27999999997,14154.62
TARGET STORE T-1767 / ANKENY,268350.24,12948.750000000002
FAREWAY STORES #912 / SIOUX CENTER,267716.21,17218.679999999997
HY-VEE / WINTERSET,267639.33,17467.3
CEDAR RIDGE VINEYARDS,266501.69999999995,5514.0
FAMILY FARE #791,265807.12,20508.049999999992
MART STOP #1 / DAVENPORT,265640.31,8949.16
WAL-MART 1393 / OSKALOOSA,264702.75999999995,16365.650000000001
FAREWAY STORES #589 / DECORAH,264566.20999999996,17531.17
HY-VEE FOOD STORE / FORT MADISON,264536.17,16850.329999999994
WAL-MART 0985 / FAIRFIELD,263540.16,18350.3
FAREWAY STORES #009 / BURLINGTON,262644.04,18054.9
PRAIRIE MEADOWS,261330.71,12375.75
AVENUE G STORE / COUNCIL BLUFFS,260652.93999999997,11608.590000000002
GATEWAY MART / CLINTON,260175.52000000002,13348.14
MEGA SAVER,259186.33,8058.580000000004
BIG DISCOUNT LIQUOR,258941.97999999998,10198.800000000003
HY-VEE FOOD STORE #1 / BURLINGTON,258803.09999999995,19930.18
FAREWAY STORES #073 / COUNCIL BLUFFS,258123.80999999997,16981.99
WAL-MART 1496 / WATERLOO,257860.75,18438.3
KWIK SPIRITS #1191 / FORT DODGE,257708.34999999995,16398.870000000003
FAREWAY STORES #019 / SIOUX CITY,257382.5,16663.8
PRIME MART 7 / WATERLOO,255768.20999999993,11195.77
SAVE MORE SUPER MARKET / DAVENPORT,255465.16999999995,14342.939999999995
LEO1  /  CEDAR RAPIDS,255441.47999999995,9640.699999999999
LIQUOR BEER & TOBACCO OUTLET,253370.78999999995,12060.949999999997
WAL-MART 2935 / KNOXVILLE,253293.58,16586.350000000002
WAL-MART 1787 / CARROLL,252896.43999999997,17388.7
FAREWAY STORES #470 / PERRY,250745.38,17385.679999999997
WAL-MART 1526 / STORM LAKE,250168.12,15541.219999999998
218 FUEL EXPRESS,249116.21,15941.349999999999
FOOD LAND SUPER MARKETS,248958.5799999999,14276.609999999993
MAIN STREET SPIRITS / MAPLETON,248121.10999999996,15030.529999999997
PHILLIPS 66 / GRINNELL,246735.89999999997,13332.749999999995
HY-VEE FOOD STORE #1 / WATERLOO,246356.06000000003,17418.35
MINI-MART / INDEPENDENCE,245969.50999999998,16327.459999999988
HY-VEE DOLLAR FRESH / MAQUOKETA,245478.19000000006,16899.6
PRICE CHOPPER  /  BEAVER #1310,245404.01,18617.010000000002
BREW COFFEE WINE SPIRIT AND CIGARS,244188.7099999999,13715.199999999999
BREW IDA GROVE,243451.68,16424.329999999994
HY-VEE DOLLAR FRESH / MANCHESTER,243365.18,16399.0
IOWA MINI MART,243035.02999999997,11761.59
FAREWAY STORES #008 / DYERSVILLE,243007.22999999992,17411.420000000002
EAST SIDE LIQUOR & GROCERY / MARSHALLTOWN,242081.40999999995,11027.750000000002
